resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25946,1104,830,9,1,1,1,1,1,25,78,1:48:51.980,6531980,23,7,1:16.604,156.822,1
25947,1104,4,117,14,2,2,2,2,18,78,+27.921,6559901,43,9,1:16.674,156.678,1
25948,1104,839,214,31,3,3,3,3,15,78,+36.990,6568970,41,6,1:16.528,156.977,1
25949,1104,1,131,44,5,4,4,4,13,78,+2.072,6534052,33,1,1:15.650,158.799,1
25950,1104,847,131,63,8,5,5,5,10,78,+17.222,6549202,48,10,1:16.798,156.425,1
25951,1104,844,6,16,6,6,6,6,8,78,+1:01.890,6593870,46,2,1:15.773,158.541,1
25952,1104,842,214,10,7,7,7,7,6,78,+1:02.362,6594342,49,3,1:15.831,158.420,1
25953,1104,832,6,55,4,8,8,8,4,78,+1:03.391,6595371,43,5,1:16.449,157.140,1
25954,1104,846,1,4,10,9,9,9,2,77,\N,\N,46,19,1:17.844,154.324,11
25955,1104,857,1,81,11,10,10,10,1,77,\N,\N,47,14,1:17.513,154.983,11
25956,1104,822,51,77,15,11,11,11,0,77,\N,\N,19,18,1:17.824,154.363,11
25957,1104,856,213,21,12,12,12,12,0,77,\N,\N,43,15,1:17.561,154.887,11
25958,1104,855,51,24,19,13,13,13,0,77,\N,\N,5,11,1:16.926,156.165,11
25959,1104,848,3,23,13,14,14,14,0,77,\N,\N,24,8,1:16.672,156.683,11
25960,1104,852,213,22,9,15,15,15,0,76,\N,\N,36,16,1:17.680,154.649,12
25961,1104,815,9,11,20,16,16,16,0,76,\N,\N,5,4,1:16.269,157.510,12
25962,1104,807,210,27,18,17,17,17,0,76,\N,\N,6,12,1:16.991,156.033,12
25963,1104,858,3,2,16,18,18,18,0,76,\N,\N,32,13,1:17.302,155.406,12
25964,1104,825,210,20,17,\N,R,19,0,70,\N,\N,41,20,1:18.351,153.325,130
25965,1104,840,117,18,14,\N,R,20,0,53,\N,\N,18,17,1:17.769,154.472,3
